,time,hashtags,user_mentions,favorite_count,geo,id_str,lang,place,retweet_count,retweeted,source,text,location,name,time_zone,utc_offset
0,01-03-2020 05:39,[],[],11742,None,1.23E+18,en,None,2724,FALSE,Twitter for iPhone,"I would find it hard to believe that failed presidential candidates Tom Steyer, or Mini Mike Bloombeg, would contri… https://t.co/MsRop4hR1o","Washington, DC",Donald J. Trump,None,None
1,01-03-2020 05:30,[],[],14522,None,1.23E+18,en,None,3186,FALSE,Twitter for iPhone,"Tom Steyer who, other than Mini Mike Bloomberg, spent more dollars for NOTHING than any candidate in history, quit… https://t.co/7jf6C7yOpA","Washington, DC",Donald J. Trump,None,None
2,01-03-2020 04:49,[],[],25933,None,1.23E+18,en,None,3990,FALSE,Twitter for iPhone,Congratulations to Sleepy Joe Biden!,"Washington, DC",Donald J. Trump,None,None
3,01-03-2020 04:45,[],[],25725,None,1.23E+18,en,None,5268,FALSE,Twitter for iPhone,"Democrats are working hard to destroy the name and reputation of Crazy Bernie Sanders, and take the nomination away from him!","Washington, DC",Donald J. Trump,None,None
4,01-03-2020 00:16,[],[],62109,None,1.23E+18,en,None,13494,FALSE,Twitter for iPhone,Sleepy Joe Biden’s victory in the South Carolina Democrat Primary should be the end of Mini Mike Bloomberg’s Joke o… https://t.co/kJZSgU6Nvo,"Washington, DC",Donald J. Trump,None,None
5,29-02-2020 23:42,[],[],58211,None,1.23E+18,en,None,18100,FALSE,Twitter for iPhone,THE BEST IS YET TO COME! https://t.co/C0RicMRP0Z,"Washington, DC",Donald J. Trump,None,None
6,29-02-2020 23:10,[],[],71420,None,1.23E+18,en,None,17304,FALSE,Twitter for iPhone,"Dana, you are the real deal! https://t.co/nAGDnP1RDp","Washington, DC",Donald J. Trump,None,None
7,29-02-2020 23:02,"[{'text': 'CPAC2020', 'indices': [17, 26]}]","[{'screen_name': 'CPAC', 'name': 'CPAC 2020 (Text CPAC to 56479)', 'id': 120295432, 'id_str': '120295432', 'indices': [10, 15]}]",23909,None,1.23E+18,en,None,6185,FALSE,Twitter for iPhone,THANK YOU @CPAC! #CPAC2020 https://t.co/Qf2zIk0FOj,"Washington, DC",Donald J. Trump,None,None
8,29-02-2020 23:00,[],[],22970,None,1.23E+18,und,None,6478,FALSE,Twitter for iPhone,https://t.co/C2LaKLBxgg,"Washington, DC",Donald J. Trump,None,None
9,29-02-2020 22:58,[],[],21804,None,1.23E+18,und,None,6197,FALSE,Twitter for iPhone,https://t.co/vVSkTSlM1X,"Washington, DC",Donald J. Trump,None,None
10,29-02-2020 17:02,[],[],103206,None,1.23E+18,en,None,19667,FALSE,Twitter for iPhone,I will be having a 1:30 P.M. Press Conference at the White House to discuss the latest CoronaVirus developments. Thank you!,"Washington, DC",Donald J. Trump,None,None
11,29-02-2020 16:19,[],[],72060,None,1.23E+18,en,None,15974,FALSE,Twitter for iPhone,"THANK YOU SOUTH CAROLINA! 
https://t.co/7i5BYCQfg8","Washington, DC",Donald J. Trump,None,None
12,29-02-2020 03:42,[],[],33296,None,1.23E+18,und,None,10503,FALSE,Twitter Media Studio,https://t.co/REhbRVEcC0,"Washington, DC",Donald J. Trump,None,None
13,29-02-2020 03:39,[],[],34442,None,1.23E+18,und,None,10625,FALSE,Twitter Media Studio,https://t.co/L00A2IM766,"Washington, DC",Donald J. Trump,None,None
14,29-02-2020 03:25,[],[],85434,None,1.23E+18,en,None,14515,FALSE,Twitter for iPhone,South Carolina was GREAT. A BIG &amp; REALLY ENTHUSIASTIC CROWD!,"Washington, DC",Donald J. Trump,None,None
15,29-02-2020 03:00,[],"[{'screen_name': 'JohnJHarwood', 'name': 'John Harwood', 'id': 259395895, 'id_str': '259395895', 'indices': [27, 40]}]",55207,None,1.23E+18,en,None,12441,FALSE,Twitter for iPhone,"A so-called reporter named @JohnJHarwood, who bombed so badly in the 2016 Presidential Debates that I thought he wa… https://t.co/LkZvosEDRe","Washington, DC",Donald J. Trump,None,None
16,29-02-2020 02:43,[],"[{'screen_name': 'RonnyJackson4TX', 'name': 'Ronny Jackson', 'id': 1201953403099893760, 'id_str': '1201953403099893760', 'indices': [26, 42]}]",49243,None,1.23E+18,en,None,14145,FALSE,Twitter for iPhone,"I hope we can get Admiral @RonnyJackson4TX of Texas, who served our Country so well, into the runoff election in… https://t.co/d8da55Awx1","Washington, DC",Donald J. Trump,None,None
17,29-02-2020 02:00,[],[],123305,None,1.23E+18,en,None,24886,FALSE,Twitter for iPhone,Thank you to all of the incredible Law Enforcement Officers in South Carolina tonight. We love you! https://t.co/yoqjwFzqQA,"Washington, DC",Donald J. Trump,None,None
18,29-02-2020 01:58,[],[],62151,None,1.23E+18,en,None,16116,FALSE,Twitter for iPhone,"It was my great honor to be back in South Carolina tonight, with thousands of hardworking American Patriots who bel… https://t.co/HlNCJfLQvY","Washington, DC",Donald J. Trump,None,None
19,28-02-2020 22:24,[],"[{'screen_name': 'RepRatcliffe', 'name': 'John Ratcliffe', 'id': 2847221717, 'id_str': '2847221717', 'indices': [43, 56]}]",92375,None,1.23E+18,en,None,25433,FALSE,Twitter for iPhone,I am pleased to announce the nomination of @RepRatcliffe (Congressman John Ratcliffe) to be Director of National In… https://t.co/5kaRCEjTlm,"Washington, DC",Donald J. Trump,None,None
20,28-02-2020 22:20,"[{'text': 'MAGA', 'indices': [67, 72]}, {'text': 'KAG', 'indices': [73, 77]}]",[],54488,None,1.23E+18,en,None,12964,FALSE,Twitter for iPhone,On my way to the Great State of South Carolina. See everyone soon! #MAGA #KAG https://t.co/cjzElGNyDN,"Washington, DC",Donald J. Trump,None,None
21,28-02-2020 21:01,[],"[{'screen_name': 'SteveDaines', 'name': 'Steve Daines', 'id': 11651202, 'id_str': '11651202', 'indices': [38, 50]}]",39130,None,1.23E+18,en,None,10439,FALSE,Twitter for iPhone,"Nobody fights harder for Montana than @SteveDaines. Steve is a close friend of mine, a STRONG Conservative, and a t… https://t.co/98OEcVXMlx","Washington, DC",Donald J. Trump,None,None
22,28-02-2020 20:28,[],[],62309,None,1.23E+18,en,None,13122,FALSE,Twitter for iPhone,"The Dems are working hard to take the prized nomination away from Bernie. Back room politics, which Bernie is not v… https://t.co/4u50tZyKnC","Washington, DC",Donald J. Trump,None,None
23,28-02-2020 20:25,[],[],66371,None,1.23E+18,en,None,15347,FALSE,Twitter for iPhone,"Mini Mike is getting slammed. His debates were, perhaps, the worst in presidential debating history. A total phony… https://t.co/gBK3HhCoyz","Washington, DC",Donald J. Trump,None,None
24,28-02-2020 20:03,[],[],78388,None,1.23E+18,en,None,25460,FALSE,Twitter for iPhone,We strongly stand with Terrence! https://t.co/N4uFExD6Vz,"Washington, DC",Donald J. Trump,None,None
25,28-02-2020 19:55,[],"[{'screen_name': 'BrandonBeckham_', 'name': '☀️Brandon Beckham, Esq.', 'id': 338473859, 'id_str': '338473859', 'indices': [3, 19]}, {'screen_name': 'realDonaldTrump', 'name': 'Donald J. Trump', 'id': 25073877, 'id_str': '25073877', 'indices': [21, 37]}, {'screen_name': 'RichforGA', 'name': 'Dr. Rich McCormick for Congress', 'id': 1136709465082945538, 'id_str': '1136709465082945538', 'indices': [55, 65]}, {'screen_name': 'USMC', 'name': 'U.S. Marines', 'id': 10126672, 'id_str': '10126672', 'indices': [110, 115]}]",0,None,1.23E+18,en,None,6515,FALSE,Twitter for iPhone,"RT @BrandonBeckham_: @realDonaldTrump 🇺🇸 Dr. McCormick @RichforGA, a Medical Doctor &amp; Decorated US Marine @USMC provides a much needed pers…","Washington, DC",Donald J. Trump,None,None
26,28-02-2020 19:51,[],"[{'screen_name': 'realDonaldTrump', 'name': 'Donald J. Trump', 'id': 25073877, 'id_str': '25073877', 'indices': [3, 19]}]",0,None,1.23E+18,und,None,12500,FALSE,Twitter for iPhone,RT @realDonaldTrump: https://t.co/xbuiZAdsR7,"Washington, DC",Donald J. Trump,None,None
27,28-02-2020 19:31,[],[],45289,None,1.23E+18,und,None,12500,FALSE,Twitter for iPhone,https://t.co/xbuiZAdsR7 https://t.co/dv2txSp3ro,"Washington, DC",Donald J. Trump,None,None
28,28-02-2020 15:30,[],[],55362,None,1.23E+18,en,None,13669,FALSE,Twitter for iPhone,“You go around Pennsylvania and you see Trump signs everywhere. The Donald Trump situation is bigger than the Reaga… https://t.co/2lE9LbWJXG,"Washington, DC",Donald J. Trump,None,None
29,28-02-2020 15:24,[],"[{'screen_name': 'FoxNews', 'name': 'Fox News', 'id': 1367531, 'id_str': '1367531', 'indices': [75, 83]}]",64565,None,1.23E+18,en,None,13120,FALSE,Twitter for iPhone,"Worst Polls, just like in 2016 when they were so far off the mark, are the @FoxNews Polls. Why doesn’t Fox finally… https://t.co/1I2Kg7PPZG","Washington, DC",Donald J. Trump,None,None
30,28-02-2020 15:18,[],"[{'screen_name': 'realDonaldTrump', 'name': 'Donald J. Trump', 'id': 25073877, 'id_str': '25073877', 'indices': [3, 19]}]",0,None,1.23E+18,en,None,25700,FALSE,Twitter for iPhone,RT @realDonaldTrump: 52% in the new Rasmussen Poll. 95% Approval Rating in the Republican Party. Thank you!,"Washington, DC",Donald J. Trump,None,None
31,28-02-2020 14:54,[],[],90398,None,1.23E+18,en,None,18427,FALSE,Twitter for iPhone,"To the people of South Carolina, Tom Steyer is a joke, laughed at by everyone, a total incompetent. He made money i… https://t.co/ketGOzMbf0","Washington, DC",Donald J. Trump,None,None
